date,country,population,total,one_shot,one_shot_perc,two_shots,two_shots_perc,three_shots,three_shots_perc,month,year
2021-01-01,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-02,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-03,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-04,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-05,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-06,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-07,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-08,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-09,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-10,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-11,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-12,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-13,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-14,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-15,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-16,Brazil,215313504,,,,,,,,2021-01,2021
2021-01-17,Brazil,215313504,112,112,0.0,,,,,2021-01,2021
2021-01-18,Brazil,215313504,1109,1109,0.0,,,,,2021-01,2021
2021-01-19,Brazil,215313504,13527,13527,0.0001,,,,,2021-01,2021
2021-01-20,Brazil,215313504,105824,105824,0.0005,,,,,2021-01,2021
2021-01-21,Brazil,215313504,193699,193699,0.0009,,,,,2021-01,2021
2021-01-22,Brazil,215313504,462269,462269,0.0021,,,,,2021-01,2021
2021-01-23,Brazil,215313504,573268,573268,0.0027,,,,,2021-01,2021
2021-01-24,Brazil,215313504,613954,613954,0.0029,,,,,2021-01,2021
2021-01-25,Brazil,215313504,801759,801759,0.0037,,,,,2021-01,2021
2021-01-26,Brazil,215313504,1045746,1045746,0.0049,,,,,2021-01,2021
2021-01-27,Brazil,215313504,1327546,1327546,0.0062,,,,,2021-01,2021
2021-01-28,Brazil,215313504,1563098,1563098,0.0073,,,,,2021-01,2021
2021-01-29,Brazil,215313504,1923813,1923813,0.0089,,,,,2021-01,2021
2021-01-30,Brazil,215313504,2046523,2046523,0.0095,,,,,2021-01,2021
2021-01-31,Brazil,215313504,2084119,2084119,0.0097,,,,,2021-01,2021
2021-02-01,Brazil,215313504,2292551,2292551,0.0106,,,,,2021-02,2021
2021-02-02,Brazil,215313504,2521704,2521704,0.0117,,,,,2021-02,2021
2021-02-03,Brazil,215313504,2802134,2802134,0.013,,,,,2021-02,2021
2021-02-04,Brazil,215313504,3074906,3074906,0.0143,,,,,2021-02,2021
2021-02-05,Brazil,215313504,3401383,3399421,0.0158,1962,0.0,,,2021-02,2021
2021-02-06,Brazil,215313504,3553681,3534004,0.0164,19677,0.0001,,,2021-02,2021
2021-02-07,Brazil,215313504,3605538,3579850,0.0166,25688,0.0001,,,2021-02,2021
2021-02-08,Brazil,215313504,3820207,3786591,0.0176,33616,0.0002,,,2021-02,2021
2021-02-09,Brazil,215313504,4120332,4069677,0.0189,50655,0.0002,,,2021-02,2021
2021-02-10,Brazil,215313504,4406835,4326075,0.0201,80760,0.0004,,,2021-02,2021
2021-02-11,Brazil,215313504,4696136,4586270,0.0213,109866,0.0005,,,2021-02,2021
2021-02-12,Brazil,215313504,5125206,4946738,0.023,178468,0.0008,,,2021-02,2021
2021-02-13,Brazil,215313504,5236943,5042713,0.0234,194230,0.0009,,,2021-02,2021
2021-02-14,Brazil,215313504,5293979,5076110,0.0236,217869,0.001,,,2021-02,2021
2021-02-15,Brazil,215313504,5609937,5324317,0.0247,285620,0.0013,,,2021-02,2021
2021-02-16,Brazil,215313504,5883539,5326007,0.0247,557532,0.0026,,,2021-02,2021
2021-02-17,Brazil,215313504,6206680,5482925,0.0255,723755,0.0034,,,2021-02,2021
2021-02-18,Brazil,215313504,6535156,5640483,0.0262,894673,0.0042,,,2021-02,2021
2021-02-19,Brazil,215313504,6813168,5756361,0.0267,1056807,0.0049,,,2021-02,2021
2021-02-20,Brazil,215313504,6950802,5817908,0.027,1132894,0.0053,,,2021-02,2021
2021-02-21,Brazil,215313504,7028356,5857080,0.0272,1171276,0.0054,,,2021-02,2021
2021-02-22,Brazil,215313504,7297061,6002873,0.0279,1294188,0.006,,,2021-02,2021
2021-02-23,Brazil,215313504,7551676,6116082,0.0284,1435594,0.0067,,,2021-02,2021
